self_generated_trade_id,dim_security_id,transaction_id,open_close,symbol,side,quantity,date_time_trade,date,settle_date,trade_price,time_zone,taxes,commission,cost_basis,relatedtransactionid,order_type,remain
04ef3b4f-0557-44ac-b2f8-817cf5755f2d,,98100000,C,TV2,Long,-2000,11/06/2024 09:52:07,2024-06-11,,52100,UTC -5,-104200.0,-260500.0,,,LMT,-2000
512c21a4-77b2-4538-a3c3-a975683c724a,,98389564,C,TV2,Long,2000,12/06/2024 13:37:00,2024-06-12,,50478,UTC -5,0.0,-1009560.0,404833560.0,98389564.0,LMT,6000
